oewn_id	dulplus_class	source	framester_id	pos	ili	primary_lemma	definition
oewn-11915427-n	dul:BiologicalObject	propagated	synset-radish-noun-3	n	i99759	radish	pungent edible root of any of various cultivated radish plants
oewn-11915561-n	dul:Organism	propagated	synset-radish-noun-2	n	i99760	radish	radish of Japan with a long hard durable root eaten raw or cooked
oewn-11915941-n	dul:Organism	propagated	synset-marsh_cress-noun-1	n	i99762	marsh cress	annual or biennial cress growing in damp places sometimes used in salads or as a potherb; troublesome weed in some localities
oewn-11916183-n	dul:Organism	propagated	synset-great_yellowcress-noun-1	n	i99763	great yellowcress	perennial herb found on streams and riversides throughout Europe except extreme north and Mediterranean; sometimes placed in genus Nasturtium
oewn-11916610-n	dul:Organism	propagated	synset-schizopetalon-noun-1	n	i99765	schizopetalon	a dainty South American annual having deeply pinnatifid leaves and racemes of fringed almond-scented purple-white flowers
oewn-11916988-n	dul:Organism	propagated	synset-white_mustard-noun-1	n	i99767	white mustard	Eurasian mustard cultivated for its pungent seeds; a source of table mustard and mustard oil
oewn-11917191-n	dul:Organism	propagated	synset-field_mustard-noun-1	n	i99768	field mustard	weedy Eurasian plant often a pest in grain fields
oewn-11917585-n	dul:Organism	propagated	synset-hedge_mustard-noun-1	n	i99770	hedge mustard	stiffly branching Old World annual with pale yellow flowers; widely naturalized in North America; formerly used medicinally
oewn-11917935-n	dul:Organism	propagated	synset-desert_plume-noun-1	n	i99772	desert plume	perennial of southwestern United States having leathery blue-green pinnatifid leaves and thick plumelike spikes of yellow flowers; sometimes placed in genus Cleome
oewn-11918369-n	dul:Organism	propagated	synset-malheur_wire_lettuce-noun-1	n	i99774	malheur wire lettuce	a small plant of Oregon resembling mustard; a threatened species
oewn-11918740-n	dul:Organism	propagated	synset-awlwort-noun-1	n	i99776	awlwort	small aquatic plant having tufted awl-shaped leaves in a basal rosette and minute white flowers; circumboreal
oewn-11919108-n	dul:Organism	propagated	synset-pennycress-noun-1	n	i99778	pennycress	any of several plants of the genus Thlaspi
oewn-11919244-n	dul:Organism	propagated	synset-field_pennycress-noun-1	n	i99779	field pennycress	foetid Eurasian weed having round flat pods; naturalized throughout North America
oewn-11919692-n	dul:Organism	propagated	synset-fringepod-noun-1	n	i99781	fringepod	annual herb having pinnatifid basal leaves and slender racemes of small white flowers followed by one-seeded winged silicles
oewn-11920231-n	dul:Organism	propagated	synset-bladderpod-noun-2	n	i99784	bladderpod	annual or perennial herbs with inflated seed pods; some placed in genus Lesquerella
oewn-11920390-n	dul:Organism	propagated	synset-wasabi-noun-1	n	i99785	wasabi	a Japanese plant of the family Cruciferae with a thick green root
oewn-11921038-n	dul:Organism	propagated	synset-poppy-noun-1	n	i99787	poppy	annual or biennial or perennial herbs having showy flowers
oewn-11921763-n	dul:Organism	propagated	synset-Iceland_poppy-noun-2	n	i99789	Iceland poppy	Old World alpine poppy with white or yellow to orange flowers
oewn-11921921-n	dul:Organism	propagated	synset-western_poppy-noun-1	n	i99790	western poppy	showy annual of California with red flowers
oewn-11922066-n	dul:Organism	propagated	synset-prickly_poppy-noun-2	n	i99791	prickly poppy	annual Old World poppy with orange-red flowers and bristly fruit
oewn-11922228-n	dul:Organism	propagated	synset-Iceland_poppy-noun-1	n	i99792	Iceland poppy	subarctic perennial poppy of both hemispheres having fragrant white or yellow to orange or peach flowers
oewn-11922446-n	dul:Organism	propagated	synset-oriental_poppy-noun-1	n	i99793	oriental poppy	commonly cultivated Asiatic perennial poppy having stiff heavily haired leaves and bright scarlet or pink to orange flowers
oewn-11922669-n	dul:Organism	propagated	synset-corn_poppy-noun-1	n	i99794	corn poppy	annual European poppy common in grain fields and often cultivated
oewn-11922858-n	dul:Organism	propagated	synset-opium_poppy-noun-1	n	i99795	opium poppy	southwestern Asian herb with greyish leaves and white or reddish flowers; source of opium
oewn-11923178-n	dul:Organism	propagated	synset-prickly_poppy-noun-1	n	i99797	prickly poppy	any plant of the genus Argemone having large white or yellow flowers and prickly leaves and stems and pods; chiefly of tropical America
oewn-11923451-n	dul:Organism	propagated	synset-Mexican_poppy-noun-1	n	i99798	Mexican poppy	annual herb with prickly stems and large yellow flowers; southern United States to West Indies and Mexico
oewn-11923802-n	dul:Organism	propagated	synset-bocconia-noun-2	n	i99800	bocconia	small Central American tree having loose racemes of purple-tinted green flowers
oewn-11924140-n	dul:Organism	propagated	synset-celandine-noun-2	n	i99802	celandine	perennial herb with branched woody stock and bright yellow flowers
oewn-11924578-n	dul:Organism	propagated	synset-corydalis-noun-1	n	i99804	corydalis	a plant of the genus Corydalis with beautiful compound foliage and spurred tubular flowers
oewn-11924743-n	dul:Organism	propagated	synset-climbing_corydalis-noun-1	n	i99805	climbing corydalis	annual vine with decompound leaves and racemes of yellow and pink flowers
oewn-11925504-n	dul:Organism	propagated	synset-bush_poppy-noun-1	n	i99809	bush poppy	evergreen shrub of southwestern United States and Mexico often cultivated for its fragrant golden yellow flowers
oewn-11925861-n	dul:Organism	propagated	synset-California_poppy-noun-1	n	i99811	California poppy	of Pacific coast of North America; widely cultivated for its yellow to red flowers
